Mês;Empresa;Linha;Estudante_Cartao;Estudante_BT;Vale_Transporte;Integracao_Plena;Integracao_Complementar;Gratuito_Cartao;Gratuito_BT;Inteira_Cartao;Inteira_Especie;Tarifa_Social;Qtd_Viagens
3;GUANABARA - URB;70;16.011;8.995;32.650;4.812;74;10.514;6.456;5.200;35.344;841;2.915
3;GUANABARA - URB;72;16.009;8.535;32.785;8.513;180;7.446;3.888;6.392;34.571;1.202;2.335
3;GUANABARA - URB;75;15.062;5.951;19.759;4.166;122;6.399;2.409;5.011;20.594;567;2.025
3;GUANABARA - URB;76;3.906;2.010;7.434;1.771;51;4.168;1.018;1.556;8.754;0;625
3;GUANABARA - URB;77;25.537;16.554;55.474;14.048;96;10.412;5.454;9.148;50.609;1.970;3.964
3;GUANABARA - URB;79;31.351;16.232;47.910;12.182;346;11.627;4.325;8.356;41.586;1.800;3.276
3;GUANABARA - URB;81;9.077;4.071;14.148;3.096;27;4.565;1.790;3.665;15.813;155;1.639
3;GUANABARA - URB;84;26.109;10.861;42.725;14.820;296;15.739;6.346;11.930;41.738;1.091;3.733
3;GUANABARA - URB;101;6.885;3.838;14.660;3.486;45;8.558;3.091;3.166;18.996;571;1.463
3;GUANABARA - URB;102;2.184;1.073;4.624;1.021;10;2.736;884;982;5.832;593;439
3;GUANABARA - URB;592;1.619;642;2.060;488;52;885;255;390;1.450;60;831
3;GUANABARA - URB;593;5.004;1.540;2.586;927;0;1.206;427;621;3.580;149;770
3;GUANABARA - URB;1029;10.494;5.340;17.427;4.996;61;4.554;1.830;2.912;14.367;624;1.144
3;GUANABARA - URB;1214;6.156;3.251;13.244;2.268;10;5.650;3.289;2.802;12.914;0;1.752
3;GUANABARA - URB;1301;4.560;1.654;4.500;1.109;27;1.979;874;1.251;5.576;0;869
3;GUANABARA - URB;1516;13.530;7.417;24.185;4.878;172;9.603;4.942;5.309;29.011;688;2.206
3;GUANABARA - URB;1778;12.783;7.021;24.471;5.417;148;9.283;4.945;5.071;25.113;385;2.223
3;GUANABARA - URB;2369;886;574;1.943;838;0;1.109;524;447;1.674;0;368
3;GUANABARA - URB;6162;8.821;3.868;11.538;2.113;30;4.850;2.598;2.441;11.370;160;1.662
3;GUANABARA - URB;6443;9.438;4.618;17.973;3.840;20;5.716;2.386;4.333;16.511;331;1.199
3;GUANABARA - URB;7501;374;79;988;52;0;207;54;439;388;0;36
3;GUANABARA - URB;7502;2.175;735;2.005;496;0;868;364;573;2.420;0;195
3;GUANABARA - URB;7601;143;99;314;94;0;182;74;46;479;174;50
3;REUNIDAS;7;25.409;11.017;48.493;12.238;262;10.045;3.580;9.283;40.815;1.647;3.517
3;REUNIDAS;26;31.011;19.052;54.039;16.239;224;8.656;4.291;9.246;43.583;1.490;3.334
